"","cohort","mouse","day","creatinine"
"385",54,"mouse2","pair2",42.26190476
"386",54,"mouse2","day13",65.66468789
"387",54,"mouse2","day1",73.00828157
"388",54,"mouse2","day4",98.7552859
"389",54,"mouse2","pair1",71.64399093
"390",54,"mouse2","day5",96.44971502
"391",54,"mouse2","day15",53.51861846
"392",54,"mouse2","day17",46.30688973
"393",54,"mouse2","day3",81.57349896
"394",54,"mouse2","day11",84.83611942
"395",54,"mouse2","day6",65.32450818
"396",54,"mouse2","day7",78.72180451
"397",54,"mouse2","day9",69.55033214
"398",54,"mouse2","day2",74.23188406
"399",54,"mouse2","day19",22.69230769
"400",55,"mouse2","pair1",NA
"401",55,"mouse2","pair3",NA
"402",55,"mouse2","day4",83.91598038
"403",55,"mouse2","day9",70.27346507
"404",55,"mouse2","pair2",NA
"405",55,"mouse2","day6",99.31340798
"406",55,"mouse2","day7",81.17148906
"407",55,"mouse2","day17",80.86542056
"408",55,"mouse2","day11",72.15243472
"409",55,"mouse2","day13",39.46542056
"410",55,"mouse2","day15",70.0317757
"411",55,"mouse2","day2",114.0487805
"412",55,"mouse2","day3",98.71449067
"413",55,"mouse2","day1",84.33859397
"414",55,"mouse2","day5",110.476543
"415",55,"mouse2","day19",71.69398907
"416",56,"mouse2","day4",71.8143133462282
"417",56,"mouse2","day5",64.7117988394584
"418",56,"mouse2","day3",75.0527122867549
"419",56,"mouse2","day1",49.1182672033736
"420",56,"mouse2","day11",46.3916083916084
"421",56,"mouse2","day6",75.7601547388781
"422",56,"mouse2","day7",39.6573426573427
"423",56,"mouse2","pair1",68.2794910643012
"424",56,"mouse2","day13",41.8039808515999
"425",56,"mouse2","pair3",49.2905201765961
"426",56,"mouse2","day9",63.2272727272727
"427",56,"mouse2","day2",67.9796818094691
"428",56,"mouse2","pair2",52.9267060912631
"429",56,"mouse2","day19",48.8461538461538
"430",56,"mouse2","day15",25.4102628705803
"431",56,"mouse2","day17",30.3283782648862
"432",57,"mouse2","day1",69.8996655518395
"433",57,"mouse2","pair3",45.5098814229249
"434",57,"mouse2","day19",54.3478260869565
"435",57,"mouse2","day4",59.2120885051268
"436",57,"mouse2","day5",69.4603345925526
"437",57,"mouse2","day2",72.2296544035674
"438",57,"mouse2","day7",78.111777444611
"439",57,"mouse2","pair2",27.1462450592885
"440",57,"mouse2","day15",64.9805447470817
"441",57,"mouse2","day6",59.5916531750315
"442",57,"mouse2","day17",56.0311284046693
"443",57,"mouse2","pair1",47.505928853755
"444",57,"mouse2","day13",49.8054474708171
"445",57,"mouse2","day9",83.0193236714976
"446",57,"mouse2","day3",85.0445930880714
"447",57,"mouse2","day11",78.5207396301849
"448",58,"mouse2","pair3",32.4095238095238
"449",58,"mouse2","day19",25.6521739130435
"450",58,"mouse2","day17",30.9952153110048
"451",58,"mouse2","day5",49.1784511784512
"452",58,"mouse2","pair2",44.9047619047619
"453",58,"mouse2","day2",18.2243692968331
"454",58,"mouse2","day3",47.0796206834854
"455",58,"mouse2","day4",50.6464646464647
"456",58,"mouse2","day1",24.6788334227948
"457",58,"mouse2","pair1",56.2285714285714
"458",58,"mouse2","day15",43.5502392344498
"459",58,"mouse2","day11",39.789936492428
"460",58,"mouse2","day13",36.8803827751196
"461",58,"mouse2","day9",58.8006839276991
"462",58,"mouse2","day6",66.4276094276094
"463",58,"mouse2","day7",56.1480214948705
"464",53,"mouse3","day6",89.79591837
"465",53,"mouse3","pair3",71.5
"466",53,"mouse3","pair1",52
"467",53,"mouse3","day3",97.14285714
"468",53,"mouse3","day4",82.85714286
"469",53,"mouse3","day1",61.14285714
"470",53,"mouse3","day2",81.14285714
"471",53,"mouse3","day10",65.80013976
"472",53,"mouse3","pair2",69.5
"473",53,"mouse3","day5",108.1632653
"474",53,"mouse3","day13",NA
"475",53,"mouse3","day14",68.62248405
"476",53,"mouse3","day15",63.4658812
"477",53,"mouse3","day12",45.00131429
"478",53,"mouse3","day19",67.97814208
"479",53,"mouse3","day9",NA
"480",53,"mouse3","day17",52.75601375
"481",53,"mouse3","day7",74.39902166
"482",53,"mouse3","day11",NA
"483",54,"mouse3","day17",8.350422738
"484",54,"mouse3","day15",18.59866883
"485",54,"mouse3","day5",10.75933076
"486",54,"mouse3","day7",10.7000511
"487",54,"mouse3","pair1",39.04195011
"488",54,"mouse3","day3",13.86749482
"489",54,"mouse3","day9",16.43222133
"490",54,"mouse3","day11",14.52149792
"491",54,"mouse3","day13",10.24824609
"492",54,"mouse3","day1",26.10351967
"493",54,"mouse3","pair2",10.86734694
"494",54,"mouse3","pair3",26.16213152
"495",54,"mouse3","day4",18.44456702
"496",54,"mouse3","day6",6.148189005
"497",54,"mouse3","day2",29.36645963
"498",54,"mouse3","day19",9.230769231
"499",55,"mouse3","day4",81.22143055
"500",55,"mouse3","day5",133.5726844
"501",55,"mouse3","day3",82.42180775
"502",55,"mouse3","pair1",88.72621641
"503",55,"mouse3","day7",81.17148906
"504",55,"mouse3","day9",90.1905434
"505",55,"mouse3","day11",64.26076217
"506",55,"mouse3","day6",68.90348848
"507",55,"mouse3","pair2",79.56427015
"508",55,"mouse3","day13",45.26915888
"509",55,"mouse3","day15",55.32897196
"510",55,"mouse3","day1",87.69296987
"511",55,"mouse3","day2",126.0286944
"512",55,"mouse3","day17",69.64485981
"513",55,"mouse3","day19",69.94535519
"514",55,"mouse3","pair3",78.11764706
"515",56,"mouse3","day3",53.8336208548974
"516",56,"mouse3","day9",33.2972027972028
"517",56,"mouse3","day2",36.151044661683
"518",56,"mouse3","pair2",12.5246403727416
"519",56,"mouse3","pair3",23.8372187739276
"520",56,"mouse3","pair1",56.56289200593
"521",56,"mouse3","day6",41.825918762089
"522",56,"mouse3","day7",27.6853146853147
"523",56,"mouse3","day4",38.6692456479691
"524",56,"mouse3","day5",39.0638297872341
"525",56,"mouse3","day15",23.7708910724784
"526",56,"mouse3","day17",19.6724615772235
"527",56,"mouse3","day19",12.6923076923077
"528",56,"mouse3","day13",16.8035609305451
"529",56,"mouse3","day11",27.3111888111888
"530",56,"mouse3","day1",20.4331991566034
"531",57,"mouse3","day2",59.0263842437756
"532",57,"mouse3","day5",56.1755711458895
"533",57,"mouse3","day6",55.7960064759849
"534",57,"mouse3","day3",60.9680416202155
"535",57,"mouse3","day4",61.4894765245548
"536",57,"mouse3","day11",54.8009328668999
"537",57,"mouse3","pair1",46.3083003952569
"538",57,"mouse3","pair2",37.5256916996047
"539",57,"mouse3","pair3",37.1264822134387
"540",57,"mouse3","day1",49.7064288368636
"541",57,"mouse3","day19",33.9130434782609
"542",57,"mouse3","day7",47.8485757121439
"543",57,"mouse3","day15",43.9688715953307
"544",57,"mouse3","day9",47.0306513409962
"545",57,"mouse3","day13",36.9649805447471
"546",57,"mouse3","day17",36.9649805447471
"547",58,"mouse3","pair1",47.6380952380952
"548",58,"mouse3","day2",59.2292002147074
"549",58,"mouse3","day1",24.2991590624441
"550",58,"mouse3","day13",65.1291866028708
"551",58,"mouse3","pair2",51.9333333333333
"552",58,"mouse3","pair3",45.6857142857143
"553",58,"mouse3","day19",65.6521739130435
"554",58,"mouse3","day4",72.6666666666667
"555",58,"mouse3","day15",59.6363636363636
"556",58,"mouse3","day17",65.9138755980861
"557",58,"mouse3","day3",71.3787797459295
"558",58,"mouse3","day6",95.053872053872
"559",58,"mouse3","day7",88.8641914997557
"560",58,"mouse3","day9",80.0219833903273
"561",58,"mouse3","day5",73.7676767676768
"562",58,"mouse3","day11",80.0219833903273
"563",53,"mouse4","day6",58.7755102
"564",53,"mouse4","day15",63.06921944
"565",53,"mouse4","day17",60.29258714
"566",53,"mouse4","day14",67.03583702
"567",53,"mouse4","day3",94.28571429
"568",53,"mouse4","day7",63.55695318
"569",53,"mouse4","pair1",73
"570",53,"mouse4","day13",55.50162096
"571",53,"mouse4","day5",75.10204082
"572",53,"mouse4","day2",94.85714286
"573",53,"mouse4","pair2",65.5
"574",53,"mouse4","day19",65.13661202
"575",53,"mouse4","day10",54.58420685
"576",53,"mouse4","day11",55.50162096
"577",53,"mouse4","day4",75.10204082
"578",53,"mouse4","day9",65.80013976
"579",53,"mouse4","pair3",71.5
"580",53,"mouse4","day1",52.57142857
"581",53,"mouse4","day12",60.75177429
"582",54,"mouse4","day3",88.50724638
"583",54,"mouse4","day6",64.17172274
"584",54,"mouse4","day7",77.57537046
"585",54,"mouse4","pair1",59.569161
"586",54,"mouse4","day9",65.34674064
"587",54,"mouse4","day5",97.60250046
"588",54,"mouse4","pair3",45.07936508
"589",54,"mouse4","day1",52.61490683
"590",54,"mouse4","day15",32.26299694
"591",54,"mouse4","pair2",31.79705215
"592",54,"mouse4","day11",61.14314913
"593",54,"mouse4","day2",58.32505176
"594",54,"mouse4","day4",80.69498069
"595",54,"mouse4","day13",36.43820831
"596",54,"mouse4","day19",22.30769231
"597",54,"mouse4","day17",34.54038496
"598",55,"mouse4","day5",123.1794207
"599",55,"mouse4","day4",103.1627649
"600",55,"mouse4","day6",110.0916073
"601",55,"mouse4","day9",110.1076217
"602",55,"mouse4","day1",100.6312769
"603",55,"mouse4","day7",105.9738885
"604",55,"mouse4","pair3",NA
"605",55,"mouse4","pair2",NA
"606",55,"mouse4","day11",NA
"607",55,"mouse4","pair1",NA
"608",55,"mouse4","day15",71.57943925
"609",55,"mouse4","day17",97.88971963
"610",55,"mouse4","day13",NA
"611",55,"mouse4","day3",111.6527977
"612",55,"mouse4","day2",144.7173601
"613",55,"mouse4","day19",79.78142077
"614",56,"mouse4","day2",73.8738738738739
"615",56,"mouse4","pair1",77.5719661795611
"616",56,"mouse4","day3",82.1257427640406
"617",56,"mouse4","day4",76.5493230174081
"618",56,"mouse4","pair2",21.4130948308163
"619",56,"mouse4","pair3",44.8462929475588
"620",56,"mouse4","day1",38.9016676250719
"621",56,"mouse4","day7",57.9895104895105
"622",56,"mouse4","day9",69.5874125874126
"623",56,"mouse4","day5",54.0580270793037
"624",56,"mouse4","day6",94.3056092843327
"625",56,"mouse4","day19",64.2307692307692
"626",56,"mouse4","day13",35.2464936591921
"627",56,"mouse4","day15",32.3775930125136
"628",56,"mouse4","day11",64.3496503496504
"629",56,"mouse4","day17",46.3122532963803
"630",57,"mouse4","pair2",38.3241106719368
"631",57,"mouse4","pair3",28.3438735177866
"632",57,"mouse4","pair1",62.2766798418973
"633",57,"mouse4","day11",63.7981009495252
"634",57,"mouse4","day3",56.6963953920476
"635",57,"mouse4","day13",43.9688715953308
"636",57,"mouse4","day1",47.3764399851357
"637",57,"mouse4","day2",51.2597547380156
"638",57,"mouse4","day9",55.2098950524738
"639",57,"mouse4","day5",63.3872998740781
"640",57,"mouse4","day15",52.5291828793774
"641",57,"mouse4","day17",46.3035019455253
"642",57,"mouse4","day19",62.1739130434783
"643",57,"mouse4","day6",55.0368771361756
"644",57,"mouse4","day4",57.6938298255082
"645",57,"mouse4","day7",37.2155588872231
"646",58,"mouse4","day13",20.4019138755981
"647",58,"mouse4","pair1",64.0380952380952
"648",58,"mouse4","day19",20.4347826086956
"649",58,"mouse4","day9",38.4636052760137
"650",58,"mouse4","pair2",60.9142857142857
"651",58,"mouse4","pair3",36.3142857142857
"652",58,"mouse4","day1",49.7373412059402
"653",58,"mouse4","day15",15.3014354066986
"654",58,"mouse4","day17",25.5023923444976
"655",58,"mouse4","day6",36.3333333333333
"656",58,"mouse4","day7",25.200293111871
"657",58,"mouse4","day5",23.8552188552189
"658",58,"mouse4","day2",41.3845052782251
"659",58,"mouse4","day11",28.7371763556424
"660",58,"mouse4","day4",24.2222222222222
"661",58,"mouse4","day3",14.4276256933262
"662",53,"mouse5","day9",63.18308875
"663",53,"mouse5","day10",51.5932914
"664",53,"mouse5","day6",60
"665",53,"mouse5","day3",103.4285714
"666",53,"mouse5","day4",73.87755102
"667",53,"mouse5","day7",71.03424179
