"","cohort","mouse","day","protein"
"338",57,"mouse12","day17",7.74370862616596
"339",57,"mouse12","day6",8.35031160201219
"340",57,"mouse12","day15",7.57531757580101
"341",57,"mouse12","pair1",10.1544135175415
"342",57,"mouse12","day1",9.16031692163659
"343",57,"mouse12","day13",7.69629346709231
"344",57,"mouse12","day3",8.73791863878638
"345",57,"mouse12","day9",7.76279277584954
"346",57,"mouse12","day5",7.96036152578274
"347",57,"mouse12","day2",7.05270098448579
"348",57,"mouse12","day4",8.00634463377496
"349",58,"mouse12","pair2",4.83413802144235
"350",58,"mouse12","day5",7.72040465400217
"351",58,"mouse12","day17",8.55751050803014
"352",58,"mouse12","day19",8.14265646725094
"353",58,"mouse12","pair1",7.9529619430743
"354",58,"mouse12","day13",9.48242642597416
"355",58,"mouse12","day11",8.81963564712622
"356",58,"mouse12","day6",7.9666110683713
"357",58,"mouse12","day7",8.71989130219036
"358",58,"mouse12","day9",8.22729668346298
"359",58,"mouse12","pair3",6.62128486660703
"360",58,"mouse12","day15",9.10595227651617
"361",58,"mouse12","day2",7.85866323812615
"362",58,"mouse12","day3",7.87587157707264
"363",58,"mouse12","day4",7.896743124732
"364",58,"mouse12","day1",6.5979705294117
"365",53,"mouse2","day4",11.03468644
"366",53,"mouse2","day6",11.52784404
"367",53,"mouse2","day11",10.23197137
"368",53,"mouse2","day10",8.612143731
"369",53,"mouse2","day13",6.674004006
"370",53,"mouse2","day14",5.096631198
"371",53,"mouse2","day5",11.34088728
"372",53,"mouse2","day12",7.940236225
"373",53,"mouse2","day17",9.86665525
"374",53,"mouse2","day19",9.32270403
"375",53,"mouse2","day7",11.03516218
"376",53,"mouse2","day9",8.981192484
"377",53,"mouse2","pair1",2.797158389
"378",53,"mouse2","day1",8.107760518
"379",53,"mouse2","day2",13.16447692
"380",53,"mouse2","day15",6.696053632
"381",53,"mouse2","day3",10.89329095
"382",53,"mouse2","pair2",9.489781115
"383",53,"mouse2","pair3",7.28374957
"384",54,"mouse2","pair3",7.566164611
"385",54,"mouse2","pair2",3.418253809
"386",54,"mouse2","day13",12.19075153
"387",54,"mouse2","day1",9.10471433
"388",54,"mouse2","day4",9.619183291
"389",54,"mouse2","pair1",8.558015065
"390",54,"mouse2","day5",9.423499413
"391",54,"mouse2","day15",14.28932673
"392",54,"mouse2","day17",13.5331275
"393",54,"mouse2","day3",10.123466
"394",54,"mouse2","day11",8.607560205
"395",54,"mouse2","day6",8.868640753
"396",54,"mouse2","day7",8.785907098
"397",54,"mouse2","day9",8.489186416
"398",54,"mouse2","day2",9.478906204
"399",54,"mouse2","day19",17.7922236
"400",55,"mouse2","pair1",NA
"401",55,"mouse2","pair3",NA
"402",55,"mouse2","day4",8.847131746
"403",55,"mouse2","day9",8.187346811
"404",55,"mouse2","pair2",NA
"405",55,"mouse2","day6",10.76423516
"406",55,"mouse2","day7",6.724886804
"407",55,"mouse2","day17",6.667070466
"408",55,"mouse2","day11",8.046026833
"409",55,"mouse2","day13",5.691614569
"410",55,"mouse2","day15",7.719823617
"411",55,"mouse2","day2",7.814234933
"412",55,"mouse2","day3",8.530265354
"413",55,"mouse2","day1",8.887092081
"414",55,"mouse2","day5",8.044182413
"415",55,"mouse2","day19",10.10908554
"416",56,"mouse2","day4",9.840655163
"417",56,"mouse2","day5",9.969639729
"418",56,"mouse2","day3",12.28758105
"419",56,"mouse2","day1",10.54088992
"420",56,"mouse2","day11",8.764796195
"421",56,"mouse2","day6",10.67388987
"422",56,"mouse2","day7",9.122313679
"423",56,"mouse2","pair1",2.754646859
"424",56,"mouse2","day13",13.31697975
"425",56,"mouse2","pair3",7.956382033
"426",56,"mouse2","day9",9.850293153
"427",56,"mouse2","day2",10.04898625
"428",56,"mouse2","pair2",5.641052277
"429",56,"mouse2","day19",15.84038659
"430",56,"mouse2","day15",14.31224121
"431",56,"mouse2","day17",11.48323739
"432",57,"mouse2","day1",9.14311377619712
"433",57,"mouse2","pair3",8.89325231352735
"434",57,"mouse2","day19",9.41433351347866
"435",57,"mouse2","day4",8.05253742297689
"436",57,"mouse2","day5",8.35031160201219
"437",57,"mouse2","day2",9.03182026457084
"438",57,"mouse2","day7",9.08332753613546
"439",57,"mouse2","pair2",6.09398851345999
"440",57,"mouse2","day15",8.13939053194563
"441",57,"mouse2","day6",8.27103591588498
"442",57,"mouse2","day17",8.51343315222908
"443",57,"mouse2","pair1",7.50685499410559
"444",57,"mouse2","day13",8.27145246580125
"445",57,"mouse2","day9",8.63351058923392
"446",57,"mouse2","day3",8.61394739207029
"447",57,"mouse2","day11",8.55439742378757
"448",58,"mouse2","pair3",7.59985297204161
"449",58,"mouse2","day19",8.49733694044428
"450",58,"mouse2","day17",9.23576185490198
"451",58,"mouse2","day5",7.47425036883078
"452",58,"mouse2","pair2",7.6080199153836
"453",58,"mouse2","day2",6.88626414109567
"454",58,"mouse2","day3",9.45160140120516
"455",58,"mouse2","day4",7.82210280179542
"456",58,"mouse2","day1",7.90992949862543
"457",58,"mouse2","pair1",8.15730029117019
"458",58,"mouse2","day15",9.06695943386991
"459",58,"mouse2","day11",8.17894074942284
"460",58,"mouse2","day13",9.3899841060403
"461",58,"mouse2","day9",8.92671241994525
"462",58,"mouse2","day6",7.81074418126677
"463",58,"mouse2","day7",9.28037202309764
"464",53,"mouse3","day6",11.19854229
"465",53,"mouse3","pair3",16.00353642
"466",53,"mouse3","pair1",2.57357411
"467",53,"mouse3","day3",9.171817524
"468",53,"mouse3","day4",9.512862761
"469",53,"mouse3","day1",8.297183967
"470",53,"mouse3","day2",10.0723057
"471",53,"mouse3","day10",5.418499013
"472",53,"mouse3","pair2",8.595444002
"473",53,"mouse3","day5",9.748966603
"474",53,"mouse3","day13",NA
"475",53,"mouse3","day14",6.696053632
"476",53,"mouse3","day15",6.850121278
"477",53,"mouse3","day12",6.208340468
"478",53,"mouse3","day19",9.32270403
"479",53,"mouse3","day9",NA
"480",53,"mouse3","day17",10.07259475
"481",53,"mouse3","day7",6.716104387
"482",53,"mouse3","day11",NA
"483",54,"mouse3","day17",11.46483177
"484",54,"mouse3","day15",11.98560496
"485",54,"mouse3","day5",7.065064067
"486",54,"mouse3","day7",8.643993263
"487",54,"mouse3","pair1",4.614973186
"488",54,"mouse3","day3",7.049361595
"489",54,"mouse3","day9",8.266643851
"490",54,"mouse3","day11",8.030695575
"491",54,"mouse3","day13",10.330163
"492",54,"mouse3","day1",7.891865571
"493",54,"mouse3","pair2",1.243563679
"494",54,"mouse3","pair3",7.799000401
"495",54,"mouse3","day4",7.463137606
"496",54,"mouse3","day6",8.28487685
"497",54,"mouse3","day2",9.413892972
"498",54,"mouse3","day19",13.24899226
"499",55,"mouse3","day4",9.128611556
"500",55,"mouse3","day5",10.41051477
"501",55,"mouse3","day3",9.270952766
"502",55,"mouse3","pair1",10.42980444
"503",55,"mouse3","day7",9.579834612
"504",55,"mouse3","day9",10.30762133
"505",55,"mouse3","day11",9.100101449
"506",55,"mouse3","day6",9.352794921
"507",55,"mouse3","pair2",7.005285135
"508",55,"mouse3","day13",9.075747528
"509",55,"mouse3","day15",9.246535337
"510",55,"mouse3","day1",9.830985333
"511",55,"mouse3","day2",10.06458428
"512",55,"mouse3","day17",9.148854529
"513",55,"mouse3","day19",10.95426159
"514",55,"mouse3","pair3",12.70647181
"515",56,"mouse3","day3",10.23189316
